;JOB_NUM		SUBMIT_TIME		WAIT_TIME		RUN_TIME
1		0		34		30005		
2		4		37		3005		
3		5		28		5009		
4		6		16		7013		
5		8		44		9017		
6		9		36		12013		
7		10		37		14017		
8		12		43		16021		
9		15		50		18025		
10		16		22		23025		
11		18		13		25029		
12		19		28		7013		
13		20		41		9017		
14		22		10		12013		
15		23		14		14017		
16		26		27		16021		
17		28		41		18025		
18		29		27		23025		
19		30		23		25029		
20		32		37		27033		
21		33		12		29037		
22		34		19		50009		
23		38		18		8015		
24		39		30		10009		
25		40		33		12013		
26		42		31		17023		
27		43		13		19027		
28		44		24		21021		
29		46		18		23025		
30		49		36		26031		
31		50		30		28035		
32		52		3		3005		
33		53		23		5009		
34		54		9		10009		
35		56		20		12013		
36		57		18		14017		
37		60		44		16021		
38		62		7		19027		
39		63		12		21021		
40		64		43		23025		
41		66		30		25029		
42		67		24		30005		
43		68		22		60011		
44		72		20		9017		
45		73		35		11011		
46		74		38		14017		
47		76		49		16021		
48		77		25		18025		
49		78		16		20019		
50		80		21		25029		
51		83		14		27033		
52		84		27		2003		
53		86		42		4007		
54		87		31		7013		
55		88		7		9017		
56		90		24		11011		
57		91		13		13015		
58		94		21		18025		
59		96		47		20019		
60		97		32		22023		
61		98		6		24027		
62		100		26		7013		
63		101		35		9017		
64		102		28		110011		
65		106		37		14017		
66		107		6		19027		
67		108		47		21021		
68		110		30		23025		
69		111		14		25029		
70		112		8		28035		
71		114		25		30029		
72		117		46		5009		
73		118		33		7013		
74		120		46		12013		
75		121		15		14017		
76		122		18		16021		
77		124		35		18025		
78		125		15		21021		
79		128		44		23025		
80		130		1		25029		
81		131		38		27033		
82		132		9		5009		
83		134		27		70013		
84		135		29		10009		
85		136		39		120013		
86		140		35		16021		
87		141		4		18025		
88		142		2		20019		
89		144		5		22023		
90		145		50		27033		
91		146		33		29037		
92		148		11		4007		
93		151		27		6011		
94		152		19		9017		
95		154		40		11011		
96		155		13		13015		
97		156		27		15019		
98		158		37		20019		
99		159		45		22023		
100		162		40		24027		
101		164		46		26031		
102		165		21		2003		
103		166		35		4007		
104		168		29		6011		
105		169		18		8015		
106		170		2		130015		
107		174		48		16021		
108		175		3		18025		
109		176		18		20019		
110		178		43		23025		
111		179		3		25029		
112		180		7		7013		
113		182		2		9017		
114		185		31		14017		
115		186		37		16021		
116		188		42		18025		
117		189		16		20019		
118		190		40		23025		
119		192		45		25029		
120		193		20		27033		
121		196		41		29037		
122		198		30		7013		
123		199		32		9017		
124		200		18		110011		
125		202		48		14017		
126		203		22		17023		
127		204		32		190027		
128		208		26		22023		
129		209		10		24027		
